Image_Index	PSNR	SSIM	MS-SSIM	VIF	MEF-SSIM
0	10.5404	0.3764	0.2853	0.0036	0.0088
1	8.0906	0.1745	0.1695	0.1177	0.0117
2	23.4308	0.7016	0.8812	0.5709	0.6945
3	9.4595	0.0726	0.1211	0.0082	0.0246
4	10.9147	0.3751	0.2411	0.1055	0.0211
5	9.8091	0.0837	0.0736	0.0696	0.0045
6	10.5088	0.0867	0.0857	0.0094	0.0046
7	9.0654	0.2611	0.2008	0.0356	0.0052
8	11.0215	0.2265	0.1889	0.0203	0.0075
9	9.7911	0.2259	0.1575	0.0392	0.0059
10	8.2419	0.2370	0.1546	0.0292	0.0057
11	10.0037	0.2652	0.1883	0.0403	0.0071
12	20.7609	0.8496	0.9270	0.6660	0.5589
13	13.2630	0.6304	0.4778	0.1539	0.0087
14	11.5803	0.5256	0.4626	0.0055	0.0076
15	21.0542	0.7755	0.8662	0.4528	0.5166
16	23.2054	0.8484	0.9275	0.7604	0.6400
17	18.8084	0.8529	0.9321	0.9399	0.6264
18	17.9420	0.7323	0.8171	0.2370	0.3835
19	17.8448	0.8588	0.9406	0.9352	0.5407
20	22.5331	0.7606	0.7490	0.2974	0.3649
21	17.7918	0.6816	0.7903	0.4846	0.7349
22	23.3191	0.8826	0.9634	0.6738	0.6471
23	20.5592	0.5859	0.8385	0.4092	0.6253
24	10.8041	0.3821	0.2862	0.0100	0.0071
25	11.1831	0.4575	0.2798	0.2332	0.0082
26	24.5581	0.9147	0.9645	0.7667	0.6214
27	23.4136	0.9431	0.9824	0.8150	0.5079
28	21.8966	0.8457	0.9565	0.7346	0.6936
29	22.0501	0.9217	0.9682	0.7066	0.5705
30	27.6264	0.7967	0.9731	0.8679	0.6515
31	29.9648	0.9304	0.9865	0.9678	0.6940
32	22.6702	0.9442	0.9886	0.9955	0.5832
33	27.8131	0.6920	0.9507	0.2804	0.4236
34	29.0521	0.8978	0.9784	0.9219	0.5616
35	11.9035	0.5446	0.5032	0.0257	0.0063
36	12.2344	0.4296	0.4567	0.0184	0.0087
37	27.6924	0.7196	0.9651	0.7681	0.5117
38	28.2647	0.9542	0.9911	1.0242	0.8550
39	27.4311	0.9441	0.9868	1.0472	0.8360
40	27.8323	0.8973	0.9828	0.9127	0.5959
41	28.4222	0.8767	0.9824	0.9896	0.6553
42	26.2898	0.9254	0.9808	0.9894	0.6200
43	23.3297	0.8812	0.9693	0.8167	0.6644
44	14.6820	0.3321	0.5075	0.0228	0.2128
45	17.0795	0.4788	0.5389	0.0343	0.1942
46	10.1631	0.3070	0.2656	0.0046	0.0095
47	10.7739	0.2603	0.1594	0.0146	0.0072
48	19.2022	0.5502	0.6399	0.0667	0.2786
49	17.9773	0.5298	0.6453	0.0086	0.1408
50	18.9024	0.5420	0.5880	0.0692	0.2407
51	16.6543	0.5916	0.6540	0.0154	0.1346
52	15.1122	0.1000	0.2758	0.0126	0.1676
53	13.8447	0.3473	0.3644	0.0161	0.2338
54	19.1980	0.5920	0.6810	0.0283	0.2012
55	20.5215	0.9065	0.9462	0.7930	0.5361
56	22.5295	0.8924	0.9721	0.7488	0.6195
57	18.1737	0.5014	0.7540	0.2730	0.6876
58	27.0593	0.9108	0.9736	0.8412	0.6167
