Image_Index	PSNR	SSIM	MS-SSIM	VIF	MEF-SSIM
58	22.6319	0.8958	0.9491	0.8544	0.5372
0	8.2530	0.3941	0.7039	0.1348	0.7323
1	10.8021	0.5348	0.8368	0.3419	0.6333
2	7.7058	0.2114	0.5502	0.0391	0.5267
3	7.1142	0.2213	0.5726	0.1255	0.6732
4	7.0958	0.2456	0.5871	0.0801	0.5058
5	7.4517	0.2784	0.6119	0.0577	0.5439
6	7.9049	0.2248	0.5407	0.2201	0.4914
7	9.2072	0.3321	0.6822	0.1719	0.3672
8	9.3819	0.4565	0.7428	0.2879	0.6796
9	7.7685	0.2894	0.6310	0.1005	0.5896
10	10.4678	0.4242	0.7047	0.3108	0.4632
11	10.8968	0.4488	0.7229	0.1761	0.5028
12	10.9880	0.4962	0.6411	0.0673	0.5785
13	6.3238	0.2127	0.7397	0.0398	0.3562
14	10.9415	0.4878	0.7239	0.1200	0.5122
15	10.2659	0.4189	0.6731	0.0635	0.4448
16	10.9328	0.5127	0.7576	0.2402	0.6224
17	8.2567	0.4028	0.7256	0.1324	0.6591
18	6.6733	0.2538	0.5101	0.0396	0.9753
19	11.6309	0.4655	0.6393	0.2291	0.4650
20	6.0154	0.1734	0.6212	0.0077	0.8854
21	6.6059	0.0417	0.2768	0.0138	0.2398
22	9.1730	0.0259	0.3986	0.0402	0.0686
23	5.3737	0.0661	0.3090	0.0172	0.4309
24	10.2153	0.2468	0.5848	0.2264	0.4615
25	7.2447	0.2657	0.5978	0.0730	0.3941
26	5.8349	0.1310	0.5493	0.0254	0.5312
27	8.4143	0.0305	0.4575	0.0583	0.2253
28	6.2713	0.0680	0.3303	0.0287	0.3535
29	6.1070	0.1400	0.5934	0.0126	0.4673
30	8.4214	0.0800	0.4257	0.0674	0.1340
31	8.1615	0.2902	0.5549	0.0532	0.3824
32	7.1954	0.2884	0.6458	0.0430	0.2737
33	6.6599	0.1391	0.6668	0.0028	0.2019
34	6.3227	0.1842	0.6351	0.0243	0.1116
35	6.8911	0.2712	0.7078	0.1248	0.5573
36	6.3938	0.1731	0.6856	0.0215	0.0390
37	9.3709	0.0677	0.4892	0.0282	0.0796
38	6.5140	0.1525	0.3919	0.0229	0.2700
39	6.5627	0.1838	0.4759	0.0250	0.2855
40	7.7095	0.2832	0.6119	0.0189	0.3986
41	6.8541	0.1526	0.5095	0.0237	0.1232
42	8.2355	0.3973	0.7074	0.0923	0.6124
43	6.7281	0.2438	0.6116	0.2447	0.5240
44	7.8047	0.1926	0.3633	0.0138	0.4979
45	10.7378	0.3977	0.4578	0.0310	0.4792
46	6.0592	0.0325	0.3021	0.0102	0.3826
47	8.0612	0.3063	0.3868	0.0124	0.5485
48	11.0438	0.3625	0.5681	0.1040	0.6062
49	9.6266	0.4110	0.5627	0.0137	0.6325
50	10.5406	0.3110	0.4912	0.1057	0.5635
51	10.0370	0.4276	0.5806	0.0187	0.6010
52	9.5502	0.0410	0.1313	0.0229	0.2869
53	9.7784	0.2731	0.3266	0.0160	0.3582
54	10.3523	0.4184	0.5537	0.0109	0.6099
55	6.6677	0.1058	0.5318	0.1249	0.3919
56	8.7623	0.3527	0.6180	0.1032	0.6375
57	8.5351	0.2133	0.5058	0.0435	0.3996
58	7.5496	0.2434	0.6056	0.1209	0.5229
